Date,Open,Close
2018-01-02,42.540001,43.064999
2018-01-03,43.1325,43.057499
2018-01-04,43.134998,43.2575
2018-01-05,43.360001,43.75
2018-01-08,43.587502,43.587502
2018-01-09,43.637501,43.5825
2018-01-10,43.290001,43.572498
2018-01-11,43.647499,43.82
2018-01-12,44.044998,44.272499
2018-01-16,44.474998,44.047501
2018-01-17,44.037498,44.775002
2018-01-18,44.842499,44.814999
2018-01-19,44.6525,44.615002
2018-01-22,44.325001,44.25
2018-01-23,44.325001,44.259998
2018-01-24,44.3125,43.555
2018-01-25,43.627499,42.7775
2018-01-26,43,42.877499
2018-01-29,42.540001,41.990002
2018-01-30,41.3825,41.7425
2018-01-31,41.717499,41.857498
2018-02-01,41.7925,41.945
2018-02-02,41.5,40.125
2018-02-05,39.775002,39.122501
2018-02-06,38.7075,40.7575
2018-02-07,40.772499,39.884998
2018-02-08,40.072498,38.787498
2018-02-09,39.267502,39.102501
2018-02-12,39.625,40.677502
2018-02-13,40.487499,41.084999
2018-02-14,40.759998,41.842499
2018-02-15,42.447498,43.247501
2018-02-16,43.09,43.107498
2018-02-20,43.012501,42.962502
2018-02-21,43.2075,42.767502
2018-02-22,42.950001,43.125
2018-02-23,43.4175,43.875
2018-02-26,44.087502,44.7425
2018-02-27,44.775002,44.5975
2018-02-28,44.814999,44.529999
2018-03-01,44.634998,43.75
2018-03-02,43.200001,44.052502
2018-03-05,43.802502,44.205002
2018-03-06,44.477501,44.1675
2018-03-07,43.735001,43.7575
2018-03-08,43.869999,44.235001
2018-03-09,44.490002,44.994999
2018-03-12,45.072498,45.43
2018-03-13,45.647499,44.9925
2018-03-14,45.080002,44.610001
2018-03-15,44.625,44.662498
2018-03-16,44.662498,44.505001
2018-03-19,44.330002,43.825001
2018-03-20,43.810001,43.810001
2018-03-21,43.759998,42.817501
2018-03-22,42.5,42.212502
2018-03-23,42.0975,41.235001
2018-03-26,42.017502,43.192501
2018-03-27,43.419998,42.084999
2018-03-28,41.8125,41.619999
2018-03-29,41.952499,41.945
2018-04-02,41.66,41.669998
2018-04-03,41.91,42.0975
2018-04-04,41.220001,42.9025
2018-04-05,43.145,43.200001
2018-04-06,42.7425,42.095001
2018-04-09,42.470001,42.512501
2018-04-10,43.25,43.3125
2018-04-11,43.057499,43.110001
2018-04-12,43.352501,43.535
2018-04-13,43.695,43.682499
2018-04-16,43.7575,43.955002
2018-04-17,44.122501,44.560001
2018-04-18,44.452499,44.459999
2018-04-19,43.439999,43.200001
2018-04-20,42.650002,41.43
2018-04-23,41.7075,41.310001
2018-04-24,41.4175,40.735001
2018-04-25,40.654999,40.912498
2018-04-26,41.029999,41.055
2018-04-27,41,40.580002
2018-04-30,40.532501,41.314999
2018-05-01,41.602501,42.275002
2018-05-02,43.807499,44.142502
2018-05-03,43.970001,44.2225
2018-05-04,44.5625,45.9575
2018-05-07,46.294998,46.290001
2018-05-08,46.247501,46.512501
2018-05-09,46.637501,46.84
2018-05-10,46.935001,47.509998
2018-05-11,47.372501,47.147499
2018-05-14,47.252499,47.037498
2018-05-15,46.695,46.610001
2018-05-16,46.517502,47.044998
2018-05-17,47,46.747501
2018-05-18,46.797501,46.577499
2018-05-21,47,46.907501
2018-05-22,47.095001,46.790001
2018-05-23,46.587502,47.09
2018-05-24,47.192501,47.037498
2018-05-25,47.057499,47.145
2018-05-29,46.900002,46.974998
2018-05-30,46.93,46.875
2018-05-31,46.805,46.717499
2018-06-01,46.997501,47.560001
2018-06-04,47.91,47.9575
2018-06-05,48.267502,48.327499
2018-06-06,48.407501,48.494999
2018-06-07,48.535,48.365002
2018-06-08,47.7925,47.924999
2018-06-11,47.837502,47.807499
2018-06-12,47.8475,48.07
2018-06-13,48.105,47.674999
2018-06-14,47.887501,47.700001
2018-06-15,47.5075,47.209999
2018-06-18,46.970001,47.185001
2018-06-19,46.285,46.422501
2018-06-20,46.587502,46.625
2018-06-21,46.8125,46.365002
2018-06-22,46.529999,46.23
2018-06-25,45.849998,45.5425
2018-06-26,45.747501,46.107498
2018-06-27,46.307499,46.040001
2018-06-28,46.025002,46.375
2018-06-29,46.572498,46.2775
2018-07-02,45.955002,46.794998
2018-07-03,46.947498,45.98
2018-07-05,46.314999,46.349998
2018-07-06,46.355,46.9925
2018-07-09,47.375,47.645
2018-07-10,47.677502,47.587502
2018-07-11,47.125,46.970001
2018-07-12,47.3825,47.7575
2018-07-13,47.77,47.8325
2018-07-16,47.880001,47.727501
2018-07-17,47.4375,47.862499
2018-07-18,47.945,47.599998
2018-07-19,47.422501,47.970001
2018-07-20,47.945,47.860001
2018-07-23,47.669998,47.9025
2018-07-24,48.112499,48.25
2018-07-25,48.264999,48.705002
2018-07-26,48.6525,48.552502
2018-07-27,48.747501,47.744999
2018-07-30,47.974998,47.477501
2018-07-31,47.575001,47.572498
2018-08-01,49.782501,50.375
2018-08-02,50.145,51.8475
2018-08-03,51.7575,51.997501
2018-08-06,52,52.267502
2018-08-07,52.330002,51.7775
2018-08-08,51.512501,51.8125
2018-08-09,52.3825,52.220001
2018-08-10,51.84,51.8825
2018-08-13,52.327499,52.217499
2018-08-14,52.540001,52.4375
2018-08-15,52.305,52.560001
2018-08-16,52.9375,53.330002
2018-08-17,53.360001,54.395
2018-08-20,54.525002,53.865002
2018-08-21,54.200001,53.759998
2018-08-22,53.525002,53.762501
2018-08-23,53.662498,53.872501
2018-08-24,54.150002,54.040001
2018-08-27,54.287498,54.485001
2018-08-28,54.752499,54.924999
2018-08-29,55.037498,55.744999
2018-08-30,55.8125,56.2575
2018-08-31,56.627499,56.907501
2018-09-04,57.102501,57.09
2018-09-05,57.247501,56.717499
2018-09-06,56.557499,55.775002
2018-09-07,55.462502,55.325001
2018-09-10,55.237499,54.5825
2018-09-11,54.502499,55.962502
2018-09-12,56.235001,55.267502
2018-09-13,55.880001,56.602501
2018-09-14,56.4375,55.959999
2018-09-17,55.537498,54.470001
2018-09-18,54.447498,54.560001
2018-09-19,54.625,54.592499
2018-09-20,55.060001,55.0075
2018-09-21,55.195,54.415001
2018-09-24,54.205002,55.197498
2018-09-25,54.9375,55.547501
2018-09-26,55.25,55.105
2018-09-27,55.955002,56.237499
2018-09-28,56.197498,56.435001
2018-10-01,56.987499,56.814999
2018-10-02,56.8125,57.32
2018-10-03,57.512501,58.017502
2018-10-04,57.695,56.997501
2018-10-05,56.990002,56.072498
2018-10-08,55.552502,55.942501
2018-10-09,55.91,56.717499
2018-10-10,56.365002,54.09
2018-10-11,53.630001,53.612499
2018-10-12,55.105,55.5275
2018-10-15,55.290001,54.34
2018-10-16,54.732498,55.537498
2018-10-17,55.575001,55.297501
2018-10-18,54.465,54.005001
2018-10-19,54.514999,54.827499
2018-10-22,54.947498,55.162498
2018-10-23,53.9575,55.682499
2018-10-24,55.650002,53.772499
2018-10-25,54.427502,54.950001
2018-10-26,53.974998,54.075001
2018-10-29,54.797501,53.060001
2018-10-30,52.787498,53.325001
2018-10-31,54.220001,54.715
2018-11-01,54.762501,55.555
2018-11-02,52.387501,51.869999
2018-11-05,51.075001,50.397499
2018-11-06,50.48,50.942501
2018-11-07,51.4925,52.487499
2018-11-08,52.494999,52.122501
2018-11-09,51.387501,51.1175
2018-11-12,49.75,48.5425
2018-11-13,47.907501,48.057499
2018-11-14,48.474998,46.700001
2018-11-15,47.0975,47.852501
2018-11-16,47.625,48.3825
2018-11-19,47.5,46.465
2018-11-20,44.592499,44.244999
2018-11-21,44.932499,44.195
2018-11-23,43.735001,43.072498
2018-11-26,43.560001,43.654999
2018-11-27,42.877499,43.560001
2018-11-28,44.182499,45.235001
2018-11-29,45.665001,44.887501
2018-11-30,45.072498,44.645
2018-12-03,46.115002,46.205002
2018-12-04,45.237499,44.172501
2018-12-06,42.939999,43.68
2018-12-07,43.372501,42.122501
2018-12-10,41.25,42.400002
2018-12-11,42.915001,42.157501
2018-12-12,42.599998,42.275002
2018-12-13,42.622501,42.737499
2018-12-14,42.25,41.369999
2018-12-17,41.362499,40.985001
2018-12-18,41.345001,41.517502
2018-12-19,41.5,40.2225
2018-12-20,40.099998,39.2075
2018-12-21,39.215,37.682499
2018-12-24,37.037498,36.7075
2018-12-26,37.075001,39.2925
2018-12-27,38.959999,39.037498
2018-12-28,39.375,39.057499
2018-12-31,39.6325,39.435001
